input3,2,125,56,14000,536591,0.615
input3,3,125,60,22500,1167316,1.117
input3,4,100,62,24800,1481505,1.404
input3,5,90,60,27000,1633226,1.489
input3,6,70,59,24780,1444931,1.4
input3,7,65,61,27755,1721861,1.625
input3,8,55,61,26840,1631357,1.678
input3,9,50,60,27000,1699469,2.207
input3,10,45,59,26550,1638228,1.602
input3,11,40,60,26400,1660379,1.52
input3,12,35,51,21420,1152722,1.995
input3,13,33,61,26169,1624134,1.554
input3,14,31,59,25606,1565164,1.601
input3,15,28,56,23520,1368655,1.533
input3,16,27,58,25056,1513588,1.712
input3,17,27,57,26163,1533593,1.884
input3,18,25,62,27900,1693335,1.702
input3,19,23,58,25346,1494953,1.492
input3,20,23,60,27600,1729591,1.745
input3,21,23,59,28497,1780967,2.043
